日付    商品名    数量    製品単価    売上    ロイヤリティ
2026/04/13    MidRange-M2    1    65000    65000    3250
2026/04/02    Flagship-X1    11    120000    1320000    66000
2026/04/12    RF-Test-Jig    44    15000    660000    33000
2026/04/07    Flagship-X1    7    120000    840000    42000
2026/04/07    Entry-E3    25    30000    750000    37500
2026/04/08    Antenna-Module    40    8000    320000    16000
2026/04/03    Flagship-X1    22    120000    2640000    132000
2026/04/04    MidRange-M2    20    65000    1300000    65000
2026/04/07    MidRange-M2    25    65000    1625000    81250
2026/04/06    Entry-E3    8    30000    240000    12000
2026/04/05    RF-Test-Jig    31    15000    465000    23250
2026/04/08    Antenna-Module    23    8000    184000    9200
2026/04/15    Antenna-Module    1    8000    8000    400
2026/04/09    Entry-E3    29    30000    870000    43500
2026/04/12    MidRange-M2    7    65000    455000    22750
2026/04/01    Flagship-X1    38    120000    4560000    228000
2026/04/08    Entry-E3    14    30000    420000    21000
2026/04/12    MidRange-M2    20    65000    1300000    65000
2026/04/14    Antenna-Module    21    8000    168000    8400
2026/04/13    MidRange-M2    18    65000    1170000    58500
2026/04/09    Flagship-X1    37    120000    4440000    222000
2026/04/05    MidRange-M2    33    65000    2145000    107250
2026/04/06    MidRange-M2    46    65000    2990000    149500
2026/04/04    MidRange-M2    11    65000    715000    35750
2026/04/02    Entry-E3    42    30000    1260000    63000
2026/04/14    Antenna-Module    10    8000    80000    4000
2026/04/10    RF-Test-Jig    14    15000    210000    10500
2026/04/02    MidRange-M2    48    65000    3120000    156000
2026/04/12    MidRange-M2    10    65000    650000    32500
2026/04/15    Flagship-X1    47    120000    5640000    282000
2026/04/11    RF-Test-Jig    23    15000    345000    17250
2026/04/01    MidRange-M2    2    65000    130000    6500
2026/04/07    Entry-E3    39    30000    1170000    58500
2026/04/07    RF-Test-Jig    43    15000    645000    32250
2026/04/10    MidRange-M2    16    65000    1040000    52000
2026/04/08    Antenna-Module    27    8000    216000    10800
2026/04/03    RF-Test-Jig    42    15000    630000    31500
2026/04/06    RF-Test-Jig    29    15000    435000    21750
2026/04/04    Entry-E3    48    30000    1440000    72000
2026/04/10    Flagship-X1    33    120000    3960000    198000
2026/04/05    Flagship-X1    5    120000    600000    30000
2026/04/04    MidRange-M2    5    65000    325000    16250
2026/04/11    MidRange-M2    31    65000    2015000    100750
2026/04/13    Flagship-X1    26    120000    3120000    156000
2026/04/05    Entry-E3    21    30000    630000    31500
