Date    ItemName    Qty    UnitPrice    TotalSales    RoyaltyFee
2026/04/13    Entry-E3    47    30000    1410000    70500
2026/04/10    Flagship-X1    37    120000    4440000    222000
2026/04/10    Antenna-Module    44    8000    352000    17600
2026/04/01    RF-Test-Jig    24    15000    360000    18000
2026/04/02    MidRange-M2    2    65000    130000    6500
2026/04/07    Antenna-Module    22    8000    176000    8800
2026/04/03    RF-Test-Jig    11    15000    165000    8250
2026/04/13    Antenna-Module    14    8000    112000    5600
2026/04/04    Antenna-Module    28    8000    224000    11200
2026/04/08    RF-Test-Jig    48    15000    720000    36000
2026/04/08    MidRange-M2    43    65000    2795000    139750
2026/04/04    Antenna-Module    21    8000    168000    8400
2026/04/12    RF-Test-Jig    45    15000    675000    33750
2026/04/03    Flagship-X1    30    120000    3600000    180000
2026/04/13    Antenna-Module    5    8000    40000    2000
2026/04/11    Flagship-X1    17    120000    2040000    102000
2026/04/05    MidRange-M2    29    65000    1885000    94250
2026/04/08    Entry-E3    9    30000    270000    13500
2026/04/11    Entry-E3    50    30000    1500000    75000
2026/04/06    Antenna-Module    5    8000    40000    2000
2026/04/11    RF-Test-Jig    10    15000    150000    7500
2026/04/14    MidRange-M2    29    65000    1885000    94250
2026/04/05    Entry-E3    47    30000    1410000    70500
2026/04/03    RF-Test-Jig    19    15000    285000    14250
2026/04/10    Entry-E3    14    30000    420000    21000
2026/04/06    Antenna-Module    10    8000    80000    4000
2026/04/02    RF-Test-Jig    19    15000    285000    14250
2026/04/12    MidRange-M2    48    65000    3120000    156000
2026/04/03    MidRange-M2    47    65000    3055000    152750
2026/04/03    Entry-E3    13    30000    390000    19500
2026/04/05    RF-Test-Jig    1    15000    15000    750
2026/04/10    MidRange-M2    20    65000    1300000    65000
2026/04/03    Entry-E3    6    30000    180000    9000
2026/04/15    Antenna-Module    38    8000    304000    15200
2026/04/05    Antenna-Module    10    8000    80000    4000
2026/04/15    MidRange-M2    33    65000    2145000    107250
2026/04/07    RF-Test-Jig    33    15000    495000    24750
2026/04/06    RF-Test-Jig    2    15000    30000    1500
2026/04/09    Entry-E3    20    30000    600000    30000
2026/04/11    Entry-E3    39    30000    1170000    58500
2026/04/11    Entry-E3    19    30000    570000    28500
2026/04/02    Entry-E3    13    30000    390000    19500
2026/04/03    Antenna-Module    44    8000    352000    17600
2026/04/06    MidRange-M2    9    65000    585000    29250
2026/04/08    MidRange-M2    23    65000    1495000    74750
2026/04/06    Entry-E3    1    30000    30000    1500
